rank,age,job,marital,balance,actual_churn,score_lr,score_rf,avg_score,risk_segment
1,40,management,married,0,1,0.9543,0.73,0.8422,High Risk
2,27,management,single,390,0,0.9594,0.725,0.8422,High Risk
3,36,management,married,495,1,0.9444,0.7,0.8222,High Risk
4,39,technician,married,116,0,0.9167,0.725,0.8208,High Risk
5,29,management,single,1445,1,0.9573,0.68,0.8187,High Risk
6,53,admin.,married,459,0,0.9296,0.695,0.8123,High Risk
7,35,management,divorced,434,0,0.9543,0.67,0.8122,High Risk
8,31,technician,single,2544,1,0.9483,0.67,0.8092,High Risk
9,30,admin.,single,305,1,0.9602,0.625,0.7926,High Risk
10,26,admin.,single,255,1,0.9528,0.58,0.7664,High Risk
11,80,retired,married,8304,0,0.9757,0.545,0.7604,High Risk
12,29,housemaid,single,19,1,0.9642,0.525,0.7446,High Risk
13,69,retired,single,2144,1,0.9832,0.505,0.7441,High Risk
14,60,admin.,married,3735,1,0.9527,0.535,0.7438,High Risk
15,64,housemaid,married,768,0,0.9368,0.53,0.7334,High Risk
16,32,blue-collar,married,889,1,0.9106,0.545,0.7278,High Risk
17,59,self-employed,married,2013,1,0.9356,0.51,0.7228,High Risk
18,52,technician,married,2557,1,0.9193,0.505,0.7122,High Risk
19,34,admin.,married,899,0,0.9166,0.505,0.7108,High Risk
20,40,services,single,1547,0,0.9289,0.48,0.7044,High Risk
21,35,unemployed,married,978,1,0.8733,0.525,0.6991,High Risk
22,41,technician,single,1646,1,0.9485,0.415,0.6818,High Risk
23,70,retired,divorced,4531,0,0.7764,0.53,0.6532,High Risk
24,39,services,married,1970,0,0.8087,0.495,0.6518,High Risk
25,37,blue-collar,married,403,0,0.8888,0.38,0.6344,High Risk
26,69,retired,married,426,1,0.9588,0.31,0.6344,High Risk
27,61,admin.,married,4629,1,0.9019,0.345,0.6235,High Risk
28,36,blue-collar,married,1177,1,0.9206,0.315,0.6178,High Risk
29,51,retired,divorced,1679,1,0.896,0.325,0.6105,High Risk
30,59,retired,divorced,7179,0,0.7839,0.43,0.607,High Risk
31,42,blue-collar,single,1628,0,0.9385,0.265,0.6018,High Risk
32,32,technician,single,6402,0,0.9313,0.255,0.5932,Moderate Risk
33,38,management,single,623,1,0.7502,0.425,0.5876,Moderate Risk
34,56,retired,married,3948,0,0.7352,0.41,0.5726,Moderate Risk
35,43,management,single,1696,1,0.6233,0.52,0.5716,Moderate Risk
36,66,retired,married,2262,0,0.7343,0.405,0.5696,Moderate Risk
37,27,student,single,-148,0,0.7975,0.32,0.5588,Moderate Risk
38,28,admin.,single,14,0,0.6793,0.435,0.5572,Moderate Risk
39,25,management,single,2506,1,0.6508,0.45,0.5504,Moderate Risk
40,47,blue-collar,married,1230,1,0.8981,0.195,0.5466,Moderate Risk
41,70,retired,divorced,6850,0,0.7867,0.305,0.5458,Moderate Risk
42,80,retired,married,8304,1,0.7621,0.32,0.541,Moderate Risk
43,25,student,single,8,1,0.7031,0.375,0.539,Moderate Risk
44,80,retired,married,462,0,0.7322,0.345,0.5386,Moderate Risk
45,66,management,single,6483,0,0.6995,0.37,0.5348,Moderate Risk
46,23,student,single,780,0,0.7276,0.335,0.5313,Moderate Risk
47,27,management,single,446,0,0.6153,0.425,0.5202,Moderate Risk
48,79,retired,married,4738,0,0.667,0.365,0.516,Moderate Risk
49,33,management,single,3170,0,0.6394,0.39,0.5147,Moderate Risk
50,40,management,single,1509,0,0.6632,0.36,0.5116,Moderate Risk
51,69,retired,married,473,0,0.7617,0.26,0.5108,Moderate Risk
52,28,management,single,1633,1,0.6329,0.385,0.509,Moderate Risk
53,71,retired,married,14220,1,0.7031,0.31,0.5065,Moderate Risk
54,36,technician,single,197,1,0.5873,0.42,0.5036,Moderate Risk
55,43,management,single,146,0,0.8001,0.205,0.5026,Moderate Risk
56,79,retired,divorced,2628,0,0.709,0.295,0.502,Moderate Risk
57,76,retired,divorced,86,0,0.7906,0.21,0.5003,Moderate Risk
58,62,retired,divorced,0,1,0.8182,0.18,0.4991,Moderate Risk
59,25,student,single,331,1,0.6575,0.34,0.4988,Moderate Risk
